Month_Year,PS,T2M,RH2M,WD2M,WS2M,PRECTOTCORR
2003 Jan,99.42,26.12,64.5,348.12,1.48,0.0
2003 Feb,99.25,28.18,61.75,303.25,1.86,0.0
2003 Mar,99.16,29.47,60.81,292.5,1.95,0.0
2003 Apr,99.02,29.82,66.88,286.19,1.84,0.0
2003 May,98.98,29.49,70.25,296.38,2.47,0.0
2003 Jun,98.88,26.97,84.56,246.62,2.44,42.19
2003 Jul,98.94,25.63,91.69,255.5,2.37,26.37
2003 Aug,99.03,25.46,90.62,275.19,2.31,15.82
2003 Sep,99.11,25.63,87.38,285.81,2.02,5.27
2003 Oct,99.08,26.01,85.12,258.06,1.41,5.27
2003 Nov,99.25,26.02,75.38,103.12,1.2,0.0
2003 Dec,99.37,25.13,65.06,59.19,1.45,0.0
2004 Jan,99.29,25.98,64.0,318.12,1.73,0.0
2004 Feb,99.28,27.68,57.12,293.5,1.79,0.0
2004 Mar,99.12,29.49,62.38,274.69,1.88,0.0
2004 Apr,99.04,29.44,67.94,291.44,1.91,0.0
2004 May,98.83,27.05,85.06,264.38,2.56,21.09
2004 Jun,99.05,26.05,88.44,260.31,3.16,26.37
2004 Jul,98.94,25.56,88.44,274.88,2.98,26.37
2004 Aug,99.1,25.31,89.31,280.06,2.87,21.09
2004 Sep,99.07,25.36,87.5,267.81,1.95,5.27
2004 Oct,99.21,26.07,83.12,274.69,1.62,5.27
2004 Nov,99.27,25.91,75.12,103.19,1.27,0.0
2004 Dec,99.32,25.07,64.06,69.75,1.42,0.0
2005 Jan,99.29,26.53,64.0,311.75,1.66,0.0
2005 Feb,99.33,27.85,58.56,305.88,1.92,0.0
2005 Mar,99.23,28.92,61.81,300.81,2.25,0.0
2005 Apr,99.12,28.73,73.12,287.94,1.69,0.0
2005 May,98.96,28.98,71.75,296.25,2.11,0.0
2005 Jun,98.82,26.71,87.19,259.31,2.77,31.64
2005 Jul,98.97,25.78,91.31,271.56,3.02,36.91
2005 Aug,99.05,25.44,90.69,278.25,2.41,15.82
2005 Sep,99.02,25.33,89.94,273.56,2.35,10.55
2005 Oct,99.05,25.76,86.75,275.19,1.69,5.27
2005 Nov,99.19,25.23,76.94,69.62,1.27,5.27
2005 Dec,99.22,24.97,73.31,49.81,1.33,0.0
2006 Jan,99.31,25.97,63.81,34.38,1.38,0.0
2006 Feb,99.29,27.2,54.44,288.75,1.48,0.0
2006 Mar,99.14,28.48,63.06,302.38,2.09,0.0
2006 Apr,99.01,29.25,64.62,297.69,2.29,0.0
2006 May,98.94,28.22,77.19,274.38,2.49,15.82
2006 Jun,98.92,26.15,88.5,250.06,2.36,26.37
2006 Jul,99.04,25.69,89.12,267.62,3.19,26.37
2006 Aug,99.05,25.53,89.12,278.31,2.53,15.82
2006 Sep,99.03,25.56,89.12,265.62,2.35,15.82
2006 Oct,99.24,25.99,85.25,256.56,1.48,5.27
2006 Nov,99.19,25.98,82.69,192.25,1.23,5.27
2006 Dec,99.37,24.46,70.25,91.44,1.35,0.0
2007 Jan,99.44,25.12,66.06,9.94,1.45,0.0
2007 Feb,99.29,26.58,62.88,300.44,1.91,0.0
2007 Mar,99.17,28.8,63.56,289.38,1.98,0.0
2007 Apr,99.05,29.36,69.88,285.06,1.79,0.0
2007 May,98.98,28.16,77.38,270.12,1.92,5.27
2007 Jun,98.77,26.51,87.75,248.69,2.81,42.19
2007 Jul,98.89,25.8,90.5,262.12,2.86,21.09
2007 Aug,98.98,25.23,90.5,267.69,2.52,26.37
2007 Sep,98.91,25.48,89.62,258.81,2.24,26.37
2007 Oct,99.02,25.69,85.5,254.31,1.66,5.27
2007 Nov,99.21,25.01,74.94,54.81,1.36,0.0
2007 Dec,99.22,25.46,70.81,62.25,1.41,0.0
2008 Jan,99.26,25.44,62.56,342.56,1.64,0.0
2008 Feb,99.23,26.94,63.38,314.0,2.05,0.0
2008 Mar,99.04,27.37,70.06,270.88,1.73,5.27
2008 Apr,98.98,28.05,75.0,289.81,1.7,0.0
2008 May,99.02,27.83,76.31,280.06,2.06,0.0
2008 Jun,98.93,26.5,86.69,248.75,2.75,36.91
2008 Jul,98.88,25.76,89.69,273.0,2.65,21.09
2008 Aug,98.95,25.3,89.81,281.88,2.37,21.09
2008 Sep,99.04,25.62,86.25,260.06,2.1,10.55
2008 Oct,99.06,26.51,79.38,269.38,1.41,5.27
2008 Nov,99.11,25.91,73.31,64.94,1.28,0.0
2008 Dec,99.29,25.37,68.69,110.38,1.3,0.0
2009 Jan,99.37,25.94,61.69,206.31,1.42,0.0
2009 Feb,99.22,27.84,60.81,290.0,1.87,0.0
2009 Mar,99.12,29.01,64.38,284.69,1.77,0.0
2009 Apr,98.99,29.38,68.25,283.06,1.94,0.0
2009 May,98.89,28.26,76.12,282.94,2.04,5.27
2009 Jun,98.96,26.37,85.5,258.69,2.42,21.09
2009 Jul,99.0,25.65,90.75,255.31,2.97,47.46
2009 Aug,99.0,25.69,89.69,277.5,2.59,21.09
2009 Sep,99.02,25.76,89.81,279.56,2.43,15.82
2009 Oct,99.16,25.9,82.0,276.75,1.54,5.27
2009 Nov,99.12,26.14,81.62,187.62,1.55,5.27
2009 Dec,99.29,25.56,76.88,88.31,1.27,0.0
2010 Jan,99.42,25.54,70.75,202.31,1.45,0.0
2010 Feb,99.3,27.55,64.31,304.62,1.77,0.0
2010 Mar,99.23,29.47,62.88,293.12,1.92,0.0
2010 Apr,99.11,29.08,73.19,287.5,1.59,0.0
2010 May,98.87,28.73,78.81,280.5,2.07,5.27
2010 Jun,98.93,27.1,85.5,259.94,2.77,31.64
2010 Jul,98.96,25.58,89.31,261.94,2.62,47.46
2010 Aug,98.93,25.35,91.5,277.88,2.55,26.37
2010 Sep,98.99,25.58,88.75,253.5,1.65,21.09
2010 Oct,98.97,26.08,86.31,271.19,1.8,15.82
2010 Nov,99.06,25.65,84.62,204.5,1.46,10.55
2010 Dec,99.05,24.8,77.38,324.88,1.3,0.0
2011 Jan,99.19,24.73,67.44,26.38,1.32,0.0
2011 Feb,99.18,25.98,62.5,313.62,1.81,0.0
2011 Mar,99.1,28.86,61.25,286.06,1.87,0.0
2011 Apr,99.04,28.3,71.5,292.94,1.78,5.27
2011 May,99.01,28.34,75.0,288.88,2.12,5.27
2011 Jun,98.92,26.62,86.5,258.5,3.02,26.37
2011 Jul,98.94,25.37,89.94,259.44,2.69,36.91
2011 Aug,98.96,25.31,90.5,262.56,2.46,31.64
2011 Sep,99.06,25.53,88.38,264.44,1.99,15.82
2011 Oct,99.07,26.12,83.62,274.38,1.41,5.27
2011 Nov,99.12,25.75,75.69,121.88,1.52,0.0
2011 Dec,99.18,25.12,67.38,80.94,1.4,0.0
2012 Jan,99.28,25.51,64.88,318.81,1.77,0.0
2012 Feb,99.13,27.6,57.0,295.44,1.68,0.0
2012 Mar,99.14,28.51,63.12,291.38,2.08,0.0
2012 Apr,99.03,28.58,71.94,290.44,1.88,5.27
2012 May,98.98,28.37,73.69,298.31,2.46,0.0
2012 Jun,98.96,26.51,84.88,258.06,2.55,26.37
2012 Jul,98.89,25.83,89.19,272.62,2.76,21.09
2012 Aug,99.04,25.48,89.12,268.31,2.55,36.91
2012 Sep,99.11,25.55,87.62,268.38,2.14,15.82
2012 Oct,99.13,26.24,81.56,256.44,1.42,5.27
2012 Nov,99.17,25.58,76.75,280.81,1.39,5.27
2012 Dec,99.18,25.82,71.19,57.25,1.38,0.0
2013 Jan,99.35,26.16,63.0,323.0,1.8,0.0
2013 Feb,99.25,27.62,63.06,289.56,1.8,0.0
2013 Mar,99.18,29.12,62.19,290.25,1.83,0.0
2013 Apr,99.03,29.31,64.5,297.06,2.21,0.0
2013 May,98.94,28.65,74.06,282.12,2.28,5.27
2013 Jun,98.88,26.1,89.19,258.56,2.98,42.19
2013 Jul,98.94,25.19,91.0,264.69,3.17,47.46
2013 Aug,99.02,25.26,90.06,286.62,2.7,26.37
2013 Sep,99.01,25.19,88.75,271.38,2.09,15.82
2013 Oct,99.11,25.89,85.88,282.06,1.88,5.27
2013 Nov,99.18,26.2,77.19,127.44,1.22,0.0
2013 Dec,99.25,25.04,68.31,68.25,1.33,0.0
2014 Jan,99.38,26.3,65.44,263.0,1.59,0.0
2014 Feb,99.2,27.33,62.12,300.62,2.0,0.0
2014 Mar,99.22,29.2,58.44,285.88,1.9,0.0
2014 Apr,99.12,29.35,69.06,288.81,1.78,0.0
2014 May,98.97,28.55,76.06,292.19,1.84,5.27
2014 Jun,98.9,27.26,85.69,265.88,2.66,21.09
2014 Jul,99.03,25.93,90.31,270.88,2.79,47.46
2014 Aug,99.02,25.36,90.56,268.25,2.59,36.91
2014 Sep,99.1,25.77,88.62,286.25,2.31,15.82
2014 Oct,99.17,26.31,84.0,271.06,1.59,5.27
2014 Nov,99.23,25.81,73.06,89.19,1.26,0.0
2014 Dec,99.28,25.58,72.5,93.75,1.29,0.0
2015 Jan,99.42,25.51,65.31,286.19,1.52,0.0
2015 Feb,99.33,27.37,57.94,288.81,1.77,0.0
2015 Mar,99.31,28.59,66.25,280.88,1.81,0.0
2015 Apr,99.15,28.46,72.12,287.12,1.56,0.0
2015 May,99.04,28.07,80.56,283.12,1.63,5.27
2015 Jun,98.97,26.63,87.25,247.0,2.52,26.37
2015 Jul,99.07,26.14,88.25,275.69,2.73,26.37
2015 Aug,99.11,25.88,89.69,284.5,2.27,21.09
2015 Sep,99.09,26.14,86.56,271.19,1.82,10.55
2015 Oct,99.25,26.59,82.06,199.88,1.45,5.27
2015 Nov,99.18,26.37,78.62,131.56,1.41,5.27
2015 Dec,99.37,26.4,72.31,89.81,1.32,0.0
2016 Jan,99.42,26.26,63.06,322.0,1.59,0.0
2016 Feb,99.36,28.32,62.62,300.19,1.94,0.0
2016 Mar,99.26,29.62,62.81,286.31,1.84,0.0
2016 Apr,99.08,30.31,65.0,292.38,2.09,0.0
2016 May,98.97,29.6,72.69,289.44,2.33,5.27
2016 Jun,98.97,26.58,86.0,273.88,2.56,36.91
2016 Jul,99.0,25.51,90.31,275.12,2.58,26.37
2016 Aug,99.03,25.57,89.25,282.56,2.6,21.09
2016 Sep,99.1,25.19,88.81,298.88,2.27,10.55
2016 Oct,99.16,25.62,82.31,292.56,1.51,0.0
2016 Nov,99.25,25.66,73.44,293.62,1.19,0.0
2016 Dec,99.27,25.76,64.62,322.75,1.6,0.0
2017 Jan,99.33,26.6,58.12,302.12,1.73,0.0
2017 Feb,99.34,28.05,56.69,291.25,1.95,0.0
2017 Mar,99.17,28.83,61.12,300.06,2.18,0.0
2017 Apr,99.09,29.44,66.38,291.06,2.08,0.0
2017 May,99.02,28.82,75.12,283.19,1.98,5.27
2017 Jun,98.98,26.76,85.62,257.94,2.48,26.37
2017 Jul,99.05,26.1,88.44,276.56,2.52,21.09
2017 Aug,98.95,25.69,90.12,284.62,2.27,21.09
2017 Sep,99.01,25.91,88.56,278.75,2.01,10.55
2017 Oct,99.03,26.21,83.69,224.38,1.53,5.27
2017 Nov,99.11,26.13,76.62,14.94,1.33,0.0
2017 Dec,99.29,25.55,68.94,93.69,1.62,0.0
2018 Jan,99.22,26.15,62.75,304.62,1.55,0.0
2018 Feb,99.27,27.73,54.62,292.62,1.7,0.0
2018 Mar,99.13,29.19,60.81,294.75,1.93,0.0
2018 Apr,99.0,29.64,67.25,291.38,1.93,0.0
2018 May,98.92,28.1,78.88,288.38,2.02,10.55
2018 Jun,98.93,26.35,87.62,249.0,2.53,26.37
2018 Jul,98.97,25.73,90.0,268.38,2.98,26.37
2018 Aug,99.08,25.03,90.94,281.31,2.54,21.09
2018 Sep,99.13,25.53,85.0,304.56,1.84,0.0
2018 Oct,99.18,26.4,80.5,267.31,1.32,5.27
2018 Nov,99.26,26.57,73.69,255.44,1.33,0.0
2018 Dec,99.31,26.69,67.0,326.81,1.58,0.0
2019 Jan,99.43,26.25,55.25,292.94,1.73,0.0
2019 Feb,99.35,28.19,56.94,304.25,1.99,0.0
2019 Mar,99.25,29.0,59.88,303.06,2.23,0.0
2019 Apr,99.06,30.21,64.0,291.0,2.09,0.0
2019 May,99.02,29.49,68.31,297.31,2.33,0.0
2019 Jun,98.89,27.81,81.0,249.69,2.45,15.82
2019 Jul,98.98,26.29,87.69,261.0,2.62,26.37
2019 Aug,99.05,25.8,89.88,258.5,2.57,42.19
2019 Sep,99.11,25.96,88.56,268.62,1.91,21.09
2019 Oct,99.14,25.95,87.81,222.81,1.73,21.09
2019 Nov,99.19,26.72,80.5,339.5,1.43,0.0
2019 Dec,99.27,26.5,76.0,100.06,1.34,0.0
2020 Jan,99.33,26.55,69.75,322.0,1.77,0.0
2020 Feb,99.33,27.89,60.5,300.25,1.73,0.0
2020 Mar,99.2,29.23,63.12,303.0,2.15,0.0
2020 Apr,99.14,30.22,65.75,282.88,1.91,0.0
2020 May,98.93,28.9,77.94,293.25,1.94,5.27
2020 Jun,98.87,26.73,86.06,241.19,2.28,26.37
2020 Jul,98.85,25.73,89.69,260.94,2.26,36.91
2020 Aug,98.93,25.84,89.94,263.5,2.37,36.91
2020 Sep,98.93,25.57,89.06,253.81,2.07,31.64
2020 Oct,98.99,25.7,86.19,264.81,1.75,15.82
2020 Nov,99.19,26.39,78.88,69.25,1.24,0.0
2020 Dec,99.22,26.15,74.44,79.56,1.27,0.0
2021 Jan,99.18,26.34,71.06,305.25,1.26,2.55
2021 Feb,99.25,26.82,64.31,320.56,1.63,0.38
2021 Mar,99.13,29.35,62.44,278.31,1.62,0.17
2021 Apr,99.08,29.11,70.62,292.0,1.73,2.85
2021 May,98.88,27.77,83.0,233.06,1.98,12.47
2021 Jun,99.0,26.63,85.88,269.81,2.24,22.81
2021 Jul,98.92,25.81,90.06,277.56,2.62,35.55
2021 Aug,99.02,25.66,88.75,272.12,1.99,14.42
2021 Sep,98.98,25.87,88.88,274.81,2.1,15.21
2021 Oct,99.01,26.33,86.94,262.81,1.49,14.14
2021 Nov,99.01,25.94,85.88,218.06,1.4,10.38
2021 Dec,99.35,25.54,76.94,51.06,1.32,0.37
2022 Jan,99.3,25.31,73.44,333.75,1.55,0.01
2022 Feb,99.19,26.96,65.06,301.56,1.68,0.01
2022 Mar,99.05,28.91,63.19,278.56,1.65,0.84
2022 Apr,99.0,28.7,75.38,285.31,1.54,2.24
2022 May,98.86,27.49,82.12,286.56,2.3,11.9
2022 Jun,98.89,26.4,85.25,262.06,1.98,22.98
2022 Jul,98.9,25.63,90.38,281.56,2.66,41.03
2022 Aug,98.88,25.35,90.62,284.12,2.64,32.15
2022 Sep,99.02,25.39,88.38,274.94,2.06,12.72
2022 Oct,99.12,25.72,83.5,278.69,1.45,4.31
2022 Nov,99.2,26.1,76.31,195.88,1.05,1.73
2022 Dec,99.17,26.09,73.19,38.5,1.24,1.42
